angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.06,"[493, 306, 263, 347]",0.0,0.0,0.0,0.9,0.04,0.0
0.02,"[496, 314, 252, 333]",0.0,0.0,0.0,0.9,0.07,0.0
0.02,"[497, 317, 250, 331]",0.0,0.0,0.0,0.94,0.04,0.0
0.01,"[489, 309, 259, 343]",0.0,0.0,0.0,0.94,0.04,0.0
0.02,"[484, 310, 261, 344]",0.0,0.0,0.0,0.95,0.03,0.0
0.02,"[477, 314, 264, 343]",0.0,0.0,0.0,0.87,0.11,0.0
0.02,"[481, 317, 257, 334]",0.0,0.0,0.0,0.92,0.05,0.0
0.02,"[481, 311, 255, 338]",0.0,0.0,0.0,0.92,0.05,0.0
0.02,"[481, 319, 258, 329]",0.0,0.0,0.0,0.95,0.03,0.0
0.02,"[479, 318, 258, 332]",0.0,0.0,0.0,0.96,0.01,0.0
0.02,"[473, 316, 262, 335]",0.0,0.0,0.0,0.94,0.03,0.0
0.05,"[480, 319, 259, 332]",0.0,0.0,0.0,0.93,0.01,0.0
0.01,"[479, 311, 264, 342]",0.0,0.0,0.0,0.97,0.01,0.0
0.02,"[481, 318, 257, 333]",0.0,0.0,0.01,0.96,0.01,0.0
0.04,"[479, 318, 259, 333]",0.0,0.0,0.0,0.95,0.01,0.0
0.05,"[479, 318, 258, 334]",0.0,0.0,0.0,0.94,0.01,0.0
0.02,"[480, 321, 254, 326]",0.0,0.0,0.0,0.95,0.02,0.0
0.01,"[472, 317, 255, 326]",0.0,0.0,0.0,0.96,0.02,0.0
0.03,"[470, 318, 258, 329]",0.0,0.0,0.0,0.95,0.02,0.0
0.01,"[468, 319, 257, 327]",0.0,0.0,0.0,0.96,0.03,0.0
0.04,"[471, 315, 257, 332]",0.0,0.0,0.0,0.92,0.04,0.0
0.02,"[469, 316, 262, 337]",0.0,0.0,0.0,0.97,0.01,0.0
0.01,"[471, 321, 261, 332]",0.0,0.0,0.0,0.98,0.01,0.0
0.01,"[466, 326, 260, 326]",0.0,0.0,0.0,0.98,0.01,0.0
0.06,"[465, 307, 268, 355]",0.0,0.0,0.0,0.91,0.02,0.0
0.11,"[463, 303, 273, 364]",0.0,0.02,0.0,0.82,0.03,0.01
0.03,"[470, 307, 262, 345]",0.0,0.01,0.0,0.92,0.02,0.02
0.08,"[475, 309, 255, 332]",0.0,0.0,0.0,0.86,0.05,0.0
0.01,"[473, 321, 249, 314]",0.0,0.0,0.0,0.9,0.09,0.0
0.02,"[484, 309, 254, 334]",0.0,0.0,0.01,0.96,0.02,0.0
0.05,"[482, 318, 258, 332]",0.0,0.0,0.0,0.76,0.18,0.0
0.07,"[489, 316, 249, 325]",0.0,0.0,0.0,0.83,0.09,0.0
0.04,"[496, 320, 243, 318]",0.0,0.0,0.0,0.88,0.08,0.0
0.05,"[494, 319, 244, 319]",0.01,0.01,0.0,0.75,0.18,0.0
0.02,"[489, 313, 249, 324]",0.0,0.0,0.0,0.94,0.04,0.0
0.03,"[483, 309, 246, 324]",0.0,0.0,0.0,0.95,0.02,0.0
0.02,"[475, 327, 249, 304]",0.0,0.0,0.0,0.96,0.02,0.0
0.02,"[480, 309, 248, 325]",0.0,0.0,0.0,0.96,0.02,0.0
0.03,"[486, 306, 251, 331]",0.0,0.0,0.0,0.93,0.04,0.0
0.04,"[491, 309, 246, 324]",0.0,0.01,0.0,0.88,0.06,0.0
0.05,"[497, 310, 247, 325]",0.0,0.01,0.0,0.85,0.09,0.0
0.05,"[499, 302, 258, 336]",0.0,0.0,0.0,0.9,0.05,0.0
0.03,"[499, 310, 249, 325]",0.0,0.01,0.0,0.8,0.15,0.0
0.03,"[485, 311, 249, 327]",0.0,0.0,0.0,0.95,0.02,0.0
0.02,"[482, 309, 258, 331]",0.0,0.0,0.0,0.95,0.02,0.0
0.02,"[483, 304, 256, 337]",0.0,0.0,0.0,0.96,0.02,0.0
0.02,"[489, 310, 250, 327]",0.0,0.0,0.0,0.94,0.03,0.0
0.05,"[487, 297, 261, 344]",0.01,0.0,0.0,0.87,0.07,0.0
0.02,"[492, 312, 246, 319]",0.0,0.0,0.0,0.9,0.08,0.0
0.03,"[490, 311, 246, 319]",0.0,0.0,0.0,0.89,0.08,0.0
0.04,"[491, 310, 246, 326]",0.0,0.0,0.0,0.83,0.12,0.0
0.03,"[490, 310, 248, 324]",0.01,0.0,0.0,0.9,0.06,0.0
0.01,"[485, 304, 254, 329]",0.0,0.0,0.0,0.98,0.01,0.0
